Date,Impact,classes_-1,classes_1,roberta_neg,roberta_neu,roberta_pos,tweet_volume,+1D ETH,Price Diff ETH,ETH Volume,ETH_close
2020-01-01,4255,6,14,0.17634574402,0.3986491921842105,0.4250050705368421,13987.0,0,-3.391825698000005,7935230330.4751,130.802008077
2020-01-02,9203,4,21,0.14300961114071428,0.36208928997619044,0.4949010965190476,15920.0,1,6.761530105999995,8032709256.07622,127.410182379
2020-01-03,1228,12,15,0.24167097611799998,0.43993187656,0.318397128636,19730.0,1,0.8976587829999971,10476845358.0825,134.171712485
2020-01-04,5093,1,14,0.10870167685862069,0.45667679362068964,0.43462149299999997,16357.0,1,1.2074054390000128,7430904515.09457,135.069371268
2020-01-05,6856,6,11,0.20483540498235292,0.4234336640735294,0.37173094411764707,16533.0,1,8.027377002999998,7526675353.24436,136.276776707
2020-01-06,6253,12,25,0.18848120781625,0.401396965078125,0.410121816046875,16540.0,0,-0.7601553730000035,9093747120.54445,144.30415371
2020-01-07,-819,10,23,0.17477797831870967,0.42963882498387096,0.39558317527419357,20950.0,0,-2.2858639220000043,9257954671.54302,143.543998337
2020-01-08,6715,3,13,0.11410711955428571,0.47321751685714286,0.41267535622857143,20820.0,0,-2.278937759000001,9387194956.58904,141.258134415
2020-01-09,11032,7,17,0.1608157655783784,0.4122573468108108,0.4269268965675676,20500.0,1,4.984584562000009,7697325347.90469,138.979196656
2020-01-10,8452,4,20,0.11926813056395348,0.38583942190697673,0.4948924539767442,18266.0,0,-1.036666724000014,9084816202.76711,143.963781218
2020-01-11,1809,6,14,0.1557524775810811,0.462639376945946,0.38160814860540543,15900.0,1,2.9468166949999954,9332208590.18775,142.927114494
2020-01-12,184,5,10,0.18364141127096775,0.4657853809677419,0.35057318318387093,14383.0,0,-1.6473400479999896,8528167453.24902,145.873931189
2020-01-13,3258,13,20,0.2144460970942373,0.43201611633898307,0.35353780502372883,15305.0,1,21.728767470000008,8378529469.79702,144.226591141
2020-01-14,14109,11,26,0.14385087772630137,0.453985731130137,0.40216339782191785,20772.0,1,0.2753264909999871,16712318373.0187,165.955358611
